# GrowSpot indoor light measurements — snapshot 2026-08-20 (rev 2, 2026-08-28) — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
# Aggregates only. Lux bands: below_low <270, low 270-800, medium 800-1600, high 1600-10800, very_high 10800+.
# Rows with fewer than 10 readings publish counts only: the distribution and band columns are left blank, because at that sample size they would describe individual readings. outdoor (n=3).
environment,readings,spots,days,min_lux,p25_lux,median_lux,p75_lux,max_lux,n_below_low,n_low,n_medium,n_high,n_very_high
indoor,49,40,19,33,420,2349,6200,50000,7,8,4,19,11
balcony,25,17,14,154,3756,8173,24208,50000,1,1,2,12,9
unspecified,127,101,33,48,1718,3142,7270,50000,2,13,16,81,15
outdoor,3,3,3,,,,,,,,,,
